auteur,equipe,titre,annee,type_publi,venue
Ladjel BELLATRECHE,IDD,Accelerated enumeration of extreme rays through a positive-definite elementarity test.,2025,Revue,Bioinform.
Ladjel BELLATRECHE,IDD,A Discretized Overlap Resolution Algorithm (DORA) for resolving spatial overlaps in individual-based models of microbes.,2025,Revue,PLoS Comput. Biol.
Ladjel BELLATRECHE,IDD,Modeling climatic effects on milk production.,2024,Revue,Comput. Electron. Agric.
Ladjel BELLATRECHE,IDD,Multi-objective optimization under parametric uncertainty: A Pareto ellipsoids-based algorithm.,2023,Revue,Comput. Chem. Eng.
Ladjel BELLATRECHE,IDD,Dynamics of Positive Frequency Dependent Selection Triggers Selection for Silence.,2022,Revue,Complex.
Seif eddine BENKABOU,IDD,DART-PFLOTRAN: An ensemble-based data assimilation system for estimating subsurface flow and transport model parameters.,2021,Revue,Environ. Model. Softw.
Allel HADJALI,IDD,A temporal dependency preserving approach for anomaly detection on multivariate time series.,2025,Revue,World Wide Web (WWW)
Allel HADJALI,IDD,Bridging machine learning and query optimization: Feedback-driven selectivity estimation for spatial filters.,2025,Revue,World Wide Web (WWW)
Allel HADJALI,IDD,An Advanced Entity Resolution in Data Lakes: First Steps.,2025,Conférence,DATA
Allel HADJALI,IDD,Parallel continuous skyline query over high-dimensional data stream windows.,2024,Revue,Distributed Parallel Databases
Allel HADJALI,IDD,Selectivity Estimation for Spatial Filters Using Optimizer Feedback: A Machine Learning Perspective.,2024,Conférence,WISE (4)
Allel HADJALI,IDD,An intelligent fuzzy system to manage western flower thrips population under biological treatment in roses yield.,2023,Revue,Comput. Electron. Agric.
Allel HADJALI,IDD,SRDF_QDAG: An efficient end-to-end RDF data management when graph exploration meets spatial processing.,2023,Revue,Comput. Sci. Inf. Syst.
Allel HADJALI,IDD,Multisensor Data Fusion in IoT Environments in Dempster-Shafer Theory Setting: An Improved Evidence Distance-Based Approach.,2023,Revue,Sensors
Allel HADJALI,IDD,CoSP: co-selection pick for a global explainability of black box machine learning models.,2023,Revue,World Wide Web (WWW)
Allel HADJALI,IDD,Databases and Information Systems: Contributions from ADBIS 2023 Workshops and Doctoral Consortium.,2023,Conférence,ADBIS (Short Papers)
Allel HADJALI,IDD,Towards a Context-based Mobility Prediction in Smart Cities: First Experimentations.,2023,Conférence,TrustCom
Allel HADJALI,IDD,RG-SKY: A fuzzy group skyline relaxation for combinatorial decision making.,2022,Revue,Comput. Sci. Inf. Syst.
Allel HADJALI,IDD,A cooperative treatment of the plethoric answers problem in RDF.,2022,Revue,Knowl. Inf. Syst.
Allel HADJALI,IDD,A Fuzzy Satisfaction Concept Based-Approach for Skyline Relaxation.,2022,Conférence,DEXA (2)
Allel HADJALI,IDD,Fuzzy Group Skyline Relaxation.,2022,Conférence,LFA
Allel HADJALI,IDD,Trust Model Recommendation Driven by Application Requirements.,2022,Conférence,RCIS
Allel HADJALI,IDD,Towards a Co-selection Approach for a Global Explainability of Black Box Machine Learning Models.,2022,Conférence,WISE
Allel HADJALI,IDD,Explaining Unexpected Answers of SPARQL Queries.,2022,Conférence,WISE
Allel HADJALI,IDD,RDF_QDAG in Action: Efficient RDF Data Querying at Scale.,2022,Conférence,WISE
Allel HADJALI,IDD,Skyline refinement exploiting fuzzy formal concept analysis.,2021,Revue,Int. J. Intell. Comput. Cybern.
Allel HADJALI,IDD,Selecting Services for Multiple Users: Let's Be Democratic.,2021,Revue,IEEE Trans. Serv. Comput.
Allel HADJALI,IDD,Dealing with Plethoric Answers of SPARQL Queries.,2021,Conférence,DEXA (1)
Allel HADJALI,IDD,On Controlling Skyline Query Results: What Does Soft Computing Bring?,2021,Conférence,FQAS
Allel HADJALI,IDD,A Possible Worlds Interpretation of Many-Sorted Theory for IR.,2021,Conférence,IEA/AIE (2)
Allel HADJALI,IDD,Towards a Unified Framework for Computational Trust and Reputation Models for e-Commerce Applications.,2021,Conférence,RCIS
Annie CHOQUET-GENIET,SETR,De représentations de documents à programmes : l'hypothèse distributionnelle peut-elle vraiment être utilisée sur les langages de programmation?,2025,Conférence,EGC
Annie CHOQUET-GENIET,SETR,From Document to Program Embeddings: Can Distributional Hypothesis Really Be Used on Programming Languages?,2024,Conférence,ECAI
Annie CHOQUET-GENIET,SETR,Facsimiles-based deep learning for matching relief-printed decorations on medieval ceramic sherds.,2023,Conférence,ICCV (Workshops)
Emmanuel GROLLEAU,SETR,A Fuzzy Time Series Forecasting Model for Urban Mid- and Long-term Electricity Load Forecasting.,2023,Conférence,ICNSC
Emmanuel GROLLEAU,SETR,Urban Electricity Demand Forecasting with a Hybrid Machine Learning Model.,2023,Conférence,ICNSC
Pascal RICHARD,SETR,Buffer dimensioning per frames in packet networks.,2025,Revue,Real Time Syst.
Pascal RICHARD,SETR,An unfair optimal scheduling algorithm for uniform multiprocessors.,2025,Conférence,ETFA
Pascal RICHARD,SETR,FracAbut: A python toolbox for computing fracture stratigraphy using interface impedance.,2024,Revue,Comput. Geosci.
Pascal RICHARD,SETR,Link Between Real-Time Scheduling and Time-Triggered Networks.,2023,Conférence,RTSS
